name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Feierling Inselhopf,Hausbrauerei Feierling,Germany,Kellerbier / ZwickelbierRanked #1,Kellerbier / Zwickelbier,Ranked #1, 5%,"94Ranked #2,256",94,"Ranked #2,256",4.41 | pDev: 11.79%,4.41,11.79%,6,19,Active,"Aug 10, 2004"
Gouden Carolus Noël / Christmas,Brouwerij Het Anker,Belgium,Belgian Dark Strong AleRanked #79,Belgian Dark Strong Ale,Ranked #79, 10.5%,"88Ranked #13,187",88,"Ranked #13,187",3.95 | pDev: 14.94%,3.95,14.94%,544,974,Active,"Nov 24, 2002"
10 Commandments,The Lost Abbey,"California, United States",Belgian Dark Strong AleRanked #80,Belgian Dark Strong Ale,Ranked #80, 11%,"88Ranked #13,188",88,"Ranked #13,188",3.95 | pDev: 11.14%,3.95,11.14%,390,956,Active,"May 08, 2007"
Réserve Ale,Ponysaurus Brewing Co.,"North Carolina, United States",Belgian Dark Strong AleRanked #81,Belgian Dark Strong Ale,Ranked #81, 9.3%,"88Ranked #14,515",88,"Ranked #14,515",3.95 | pDev: 9.87%,3.95,9.87%,1,12,Active,"Jan 06, 2014"
Banjo Funeral,Brouwerij 't Verzet,Belgium,Belgian Dark Strong AleRanked #82,Belgian Dark Strong Ale,Ranked #82, 9%,"88Ranked #14,927",88,"Ranked #14,927",3.94 | pDev: 5.33%,3.94,5.33%,3,10,Active,"Sep 17, 2017"
Father Christmas,Barrel of Monks Brewing,"Florida, United States",Belgian Dark Strong AleRanked #83,Belgian Dark Strong Ale,Ranked #83, 10%,"88Ranked #14,419",88,"Ranked #14,419",3.94 | pDev: 5.08%,3.94,5.08%,8,24,Active,"Nov 24, 2015"
Belgian Strong Dark,pFriem Family Brewers,"Oregon, United States",Belgian Dark Strong AleRanked #84,Belgian Dark Strong Ale,Ranked #84, 10%,"88Ranked #13,885",88,"Ranked #13,885",3.94 | pDev: 10.15%,3.94,10.15%,23,106,Active,"Aug 06, 2012"
't Smisje Kerst,Brouwerij Smisje,Belgium,Belgian Dark Strong AleRanked #85,Belgian Dark Strong Ale,Ranked #85, 11%,"88Ranked #13,878",88,"Ranked #13,878",3.94 | pDev: 9.64%,3.94,9.64%,77,116,Active,"May 16, 2003"
Monk's Brew,Mikkeller ApS,Denmark,Belgian Dark Strong AleRanked #86,Belgian Dark Strong Ale,Ranked #86, 10%,"88Ranked #13,700",88,"Ranked #13,700",3.94 | pDev: 11.68%,3.94,11.68%,175,472,Active,"Mar 22, 2008"
Do You Like Spicy Nachos?,Westbrook Brewing Co.,"South Carolina, United States",Belgian Dark Strong AleRanked #87,Belgian Dark Strong Ale,Ranked #87, 12%,"88Ranked #14,823",88,"Ranked #14,823",3.93 | pDev: 15.27%,3.93,15.27%,10,21,Active,"Oct 31, 2020"
Trader Joe’s 2022 Vintage Spiced Ale,Trader Joe's Brewing Company,"California, United States",Belgian Dark Strong AleRanked #88,Belgian Dark Strong Ale,Ranked #88, 9%,"88Ranked #15,382",88,"Ranked #15,382",3.92 | pDev: 5.87%,3.92,5.87%,8,12,Active,"Nov 13, 2022"
Noir De Dottignies,Brouwerij Brasserie De Ranke,Belgium,Belgian Dark Strong AleRanked #89,Belgian Dark Strong Ale,Ranked #89, 9%,"88Ranked #14,240",88,"Ranked #14,240",3.93 | pDev: 9.92%,3.93,9.92%,127,317,Active,"Apr 06, 2009"
Nocturna,Allagash Brewing Company,"Maine, United States",Belgian Dark Strong AleRanked #90,Belgian Dark Strong Ale,Ranked #90, 9.5%,"88Ranked #14,909",88,"Ranked #14,909",3.92 | pDev: 7.91%,3.92,7.91%,30,80,Active,"Mar 15, 2020"
Noël,Birra Baladin,Italy,Belgian Dark Strong AleRanked #91,Belgian Dark Strong Ale,Ranked #91, 9%,"88Ranked #15,320",88,"Ranked #15,320",3.91 | pDev: 12.79%,3.91,12.79%,78,133,Active,"Dec 28, 2003"
St. Feuillien Speciale,Brasserie St. Feuillien,Belgium,Belgian Dark Strong AleRanked #92,Belgian Dark Strong Ale,Ranked #92, 9%,"87Ranked #15,743",87,"Ranked #15,743",3.9 | pDev: 10.26%,3.9,10.26%,37,100,Active,"Dec 03, 2011"
Delirium Noël (Christmas),Brouwerij Huyghe,Belgium,Belgian Dark Strong AleRanked #93,Belgian Dark Strong Ale,Ranked #93, 10%,"87Ranked #15,683",87,"Ranked #15,683",3.9 | pDev: 12.05%,3.9,12.05%,884,"2,203",Active,"Feb 03, 2002"
Rudolph's Revenge,Main Street Brewery / Turoni's Pizza,"Indiana, United States",Belgian Dark Strong AleRanked #94,Belgian Dark Strong Ale,Ranked #94, 11.7%,"87Ranked #16,967",87,"Ranked #16,967",3.86 | pDev: 9.84%,3.86,9.84%,7,14,Active,"Jan 12, 2009"
Sorcerer,Fat Head's Brewery & Saloon,"Ohio, United States",Belgian Dark Strong AleRanked #95,Belgian Dark Strong Ale,Ranked #95, 9%,"87Ranked #16,257",87,"Ranked #16,257",3.89 | pDev: 7.97%,3.89,7.97%,28,135,Active,"Dec 30, 2010"
't Smisje Calva Reserva,Brouwerij Smisje,Belgium,Belgian Dark Strong AleRanked #96,Belgian Dark Strong Ale,Ranked #96, 12%,"87Ranked #16,270",87,"Ranked #16,270",3.89 | pDev: 14.65%,3.89,14.65%,113,166,Active,"Nov 26, 2003"
Cazeau Tournay De Noël,Brasserie De Cazeau,Belgium,Belgian Dark Strong AleRanked #97,Belgian Dark Strong Ale,Ranked #97, 8.2%,"87Ranked #16,532",87,"Ranked #16,532",3.88 | pDev: 7.47%,3.88,7.47%,33,50,Active,"Apr 17, 2009"
Esther,Platform Beer Co.,"Ohio, United States",Belgian Dark Strong AleRanked #98,Belgian Dark Strong Ale,Ranked #98, 9.5%,"87Ranked #16,542",87,"Ranked #16,542",3.88 | pDev: 6.19%,3.88,6.19%,17,56,Active,"Nov 10, 2015"
Kagua Rouge,Far Yeast Brewing Co.,Japan,Belgian Dark Strong AleRanked #99,Belgian Dark Strong Ale,Ranked #99, 9%,"87Ranked #16,931",87,"Ranked #16,931",3.87 | pDev: 7.49%,3.87,7.49%,13,37,Active,"Jul 29, 2014"
Smoked & Oaked,Epic Brewing Company,"Utah, United States",Belgian Dark Strong AleRanked #100,Belgian Dark Strong Ale,Ranked #100, 11.9%,"87Ranked #16,693",87,"Ranked #16,693",3.88 | pDev: 12.63%,3.88,12.63%,91,316,Active,"Jul 11, 2010"
Duvel,Brouwerij Duvel Moortgat NV,Belgium,Belgian Pale Strong AleRanked #1,Belgian Pale Strong Ale,Ranked #1, 8.5%,"94Ranked #1,945",94,"Ranked #1,945",4.25 | pDev: 11.53%,4.25,11.53%,"3,015","8,525",Active,"Dec 06, 2000"
La Chouffe (Blonde),Brasserie d'Achouffe,Belgium,Belgian Pale Strong AleRanked #2,Belgian Pale Strong Ale,Ranked #2, 8%,"94Ranked #2,718",94,"Ranked #2,718",4.21 | pDev: 9.98%,4.21,9.98%,"1,046","3,023",Active,"Oct 24, 2001"
Stille Nacht,Brouwerij De Dolle Brouwers,Belgium,Belgian Pale Strong AleRanked #3,Belgian Pale Strong Ale,Ranked #3, 12%,"93Ranked #3,201",93,"Ranked #3,201",4.19 | pDev: 11.22%,4.19,11.22%,567,"1,175",Active,"Mar 25, 2001"
150 (Green),Bières de Chimay,Belgium,Belgian Pale Strong AleRanked #4,Belgian Pale Strong Ale,Ranked #4, 10%,"93Ranked #3,567",93,"Ranked #3,567",4.18 | pDev: 9.57%,4.18,9.57%,137,467,Active,"Aug 19, 2012"
Moinette Blond,Brasserie Dupont sprl,Belgium,Belgian Pale Strong AleRanked #5,Belgian Pale Strong Ale,Ranked #5, 8.5%,"93Ranked #3,824",93,"Ranked #3,824",4.17 | pDev: 9.11%,4.17,9.11%,339,594,Active,"Oct 14, 2001"
Boskeun,Brouwerij De Dolle Brouwers,Belgium,Belgian Pale Strong AleRanked #6,Belgian Pale Strong Ale,Ranked #6, 10%,"92Ranked #4,451",92,"Ranked #4,451",4.15 | pDev: 10.12%,4.15,10.12%,306,574,Active,"Oct 23, 2000"
Melange A Trois - Reserve Series Aged In French Oak Chardonnay Barrels,Nebraska Brewing Company Production Brewery & Tap Room,"Nebraska, United States",Belgian Pale Strong AleRanked #7,Belgian Pale Strong Ale,Ranked #7, 11.3%,"92Ranked #4,836",92,"Ranked #4,836",4.14 | pDev: 8.94%,4.14,8.94%,114,417,Active,"Nov 16, 2008"
Delirium Tremens,Brouwerij Huyghe,Belgium,Belgian Pale Strong AleRanked #8,Belgian Pale Strong Ale,Ranked #8, 8.5%,"92Ranked #4,988",92,"Ranked #4,988",4.13 | pDev: 11.86%,4.13,11.86%,"1,834","6,350",Active,"Sep 02, 2001"
Red Rock Paardebloem,Red Rock Brewing Company,"Utah, United States",Belgian Pale Strong AleRanked #9,Belgian Pale Strong Ale,Ranked #9, 8.8%,"92Ranked #4,859",92,"Ranked #4,859",4.26 | pDev: 7.98%,4.26,7.98%,5,19,Active,"Dec 23, 2009"
Damnation,Russian River Brewing Company,"California, United States",Belgian Pale Strong AleRanked #10,Belgian Pale Strong Ale,Ranked #10, 7.5%,"92Ranked #5,377",92,"Ranked #5,377",4.12 | pDev: 9.95%,4.12,9.95%,"1,186","3,955",Active,"Sep 19, 2003"
Local 1,Brooklyn Brewery,"New York, United States",Belgian Pale Strong AleRanked #11,Belgian Pale Strong Ale,Ranked #11, 9%,"92Ranked #5,412",92,"Ranked #5,412",4.12 | pDev: 11.65%,4.12,11.65%,934,"2,119",Active,"Feb 18, 2007"
Gnommegang,Brewery Ommegang,"New York, United States",Belgian Pale Strong AleRanked #12,Belgian Pale Strong Ale,Ranked #12, 9.5%,"91Ranked #6,604",91,"Ranked #6,604",4.09 | pDev: 10.76%,4.09,10.76%,497,"1,672",Active,"Jan 10, 2011"
Gouden Carolus Cuvée Van De Keizer Imperial Blond,Brouwerij Het Anker,Belgium,Belgian Pale Strong AleRanked #13,Belgian Pale Strong Ale,Ranked #13, 10%,"91Ranked #6,781",91,"Ranked #6,781",4.09 | pDev: 10.27%,4.09,10.27%,171,395,Active,"May 07, 2008"
Struise Tsjeeses Reserva (Bourbon Barrel Aged),De Struise Brouwers,Belgium,Belgian Pale Strong AleRanked #14,Belgian Pale Strong Ale,Ranked #14, 10%,"91Ranked #7,301",91,"Ranked #7,301",4.08 | pDev: 10.78%,4.08,10.78%,63,247,Active,"Aug 27, 2012"
Piraat,Brouwerij Van Steenberge N.V.,Belgium,Belgian Pale Strong AleRanked #15,Belgian Pale Strong Ale,Ranked #15, 10.5%,"91Ranked #7,489",91,"Ranked #7,489",4.07 | pDev: 11.79%,4.07,11.79%,"1,126","2,700",Active,"Oct 07, 2001"
Devil's Kriek,Double Mountain Brewery & Taproom,"Oregon, United States",Belgian Pale Strong AleRanked #16,Belgian Pale Strong Ale,Ranked #16, 9%,"91Ranked #7,809",91,"Ranked #7,809",4.07 | pDev: 8.35%,4.07,8.35%,52,198,Active,"Jul 18, 2008"
Arabier,Brouwerij De Dolle Brouwers,Belgium,Belgian Pale Strong AleRanked #17,Belgian Pale Strong Ale,Ranked #17, 8%,"91Ranked #7,973",91,"Ranked #7,973",4.06 | pDev: 10.84%,4.06,10.84%,349,712,Active,"Oct 23, 2000"
Duvel Barrel Aged Jamaican Rum Edition,Brouwerij Duvel Moortgat NV,Belgium,Belgian Pale Strong AleRanked #18,Belgian Pale Strong Ale,Ranked #18, 11%,"91Ranked #7,462",91,"Ranked #7,462",4.23 | pDev: 5.44%,4.23,5.44%,6,11,Active,"Dec 23, 2021"
Roll Out The Barrel - Chardonnay Barrel-Aged,3 Sheeps Brewing,"Wisconsin, United States",Belgian Pale Strong AleRanked #19,Belgian Pale Strong Ale,Ranked #19, 12.4%,"91Ranked #8,071",91,"Ranked #8,071",4.09 | pDev: 7.82%,4.09,7.82%,13,47,Active,"Apr 15, 2015"
Horny Devil,AleSmith Brewing Company,"California, United States",Belgian Pale Strong AleRanked #20,Belgian Pale Strong Ale,Ranked #20, 10%,"90Ranked #8,410",90,"Ranked #8,410",4.05 | pDev: 12.1%,4.05,12.1%,417,"1,069",Active,"Dec 26, 2001"
Bourbon Barrel No Sparge,Taxman Brewing Co.,"Indiana, United States",Belgian Pale Strong AleRanked #21,Belgian Pale Strong Ale,Ranked #21, 12.5%,"91Ranked #7,702",91,"Ranked #7,702",4.22 | pDev: 4.03%,4.22,4.03%,8,11,Active,"Jul 12, 2021"
Pranqster,North Coast Brewing Co.,"California, United States",Belgian Pale Strong AleRanked #22,Belgian Pale Strong Ale,Ranked #22, 7.6%,"90Ranked #8,801",90,"Ranked #8,801",4.04 | pDev: 11.63%,4.04,11.63%,"1,311","3,618",Active,"Jun 01, 1998"
Secret Agent X9,Stubborn Beauty Brewing Company,"Connecticut, United States",Belgian Pale Strong AleRanked #23,Belgian Pale Strong Ale,Ranked #23, 10%,"91Ranked #8,265",91,"Ranked #8,265",4.12 | pDev: 8.74%,4.12,8.74%,4,23,Active,"Jan 02, 2015"
Solid Gold Belgian Golden,Cannonball Creek Brewing Company,"Colorado, United States",Belgian Pale Strong AleRanked #24,Belgian Pale Strong Ale,Ranked #24, 7.4%,"91Ranked #8,254",91,"Ranked #8,254",4.15 | pDev: 6.75%,4.15,6.75%,5,16,Active,"Nov 29, 2014"
Matilda,Goose Island Beer Co.,"Illinois, United States",Belgian Pale Strong AleRanked #25,Belgian Pale Strong Ale,Ranked #25, 7%,"90Ranked #9,242",90,"Ranked #9,242",4.03 | pDev: 11.91%,4.03,11.91%,"1,340","4,970",Active,"Jun 04, 2003"
Wet-Hopped Blonde,Dageraad Brewing,"British Columbia, Canada",Belgian Pale Strong AleRanked #26,Belgian Pale Strong Ale,Ranked #26, 7.5%,"90Ranked #8,949",90,"Ranked #8,949",4.09 | pDev: 7.82%,4.09,7.82%,6,27,Active,"Nov 01, 2014"
Broken Angel,Trillium Brewing Company,"Massachusetts, United States",Belgian Pale Strong AleRanked #27,Belgian Pale Strong Ale,Ranked #27, 9%,"90Ranked #9,551",90,"Ranked #9,551",4.03 | pDev: 6.95%,4.03,6.95%,34,202,Active,"Dec 17, 2014"
Embrace The Funk - Maracuyá Y Tradicional,Yazoo Brewing Company,"Tennessee, United States",Belgian Pale Strong AleRanked #28,Belgian Pale Strong Ale,Ranked #28, 9.9%,"90Ranked #8,940",90,"Ranked #8,940",4.14 | pDev: 6.76%,4.14,6.76%,6,14,Active,"Apr 21, 2017"
Bush Prestige,Brasserie Dubuisson Frères sprl,Belgium,Belgian Pale Strong AleRanked #29,Belgian Pale Strong Ale,Ranked #29, 13%,"90Ranked #9,630",90,"Ranked #9,630",4.03 | pDev: 13.15%,4.03,13.15%,80,173,Active,"Dec 19, 2004"
Cosmic Crown,Cigar City Brewing,"Florida, United States",Belgian Pale Strong AleRanked #30,Belgian Pale Strong Ale,Ranked #30, 9%,"90Ranked #9,549",90,"Ranked #9,549",4.04 | pDev: 6.93%,4.04,6.93%,35,79,Active,"Mar 24, 2022"
Sun Hands Belgian Summer Golden,Haw River Farmhouse Ales,"North Carolina, United States",Belgian Pale Strong AleRanked #31,Belgian Pale Strong Ale,Ranked #31, 9.6%,"90Ranked #9,219",90,"Ranked #9,219",4.09 | pDev: 10.51%,4.09,10.51%,4,23,Active,"Aug 14, 2014"
Jerkbird,Off Color Brewing,"Illinois, United States",Belgian Pale Strong AleRanked #32,Belgian Pale Strong Ale,Ranked #32, 10.5%,"90Ranked #9,507",90,"Ranked #9,507",4.05 | pDev: 7.41%,4.05,7.41%,11,52,Active,"Sep 12, 2015"
Evora,Allagash Brewing Company,"Maine, United States",Belgian Pale Strong AleRanked #33,Belgian Pale Strong Ale,Ranked #33, 9%,"90Ranked #10,011",90,"Ranked #10,011",4.02 | pDev: 9.2%,4.02,9.2%,48,235,Active,"Jun 14, 2014"
Inferno Ale,The Lost Abbey,"California, United States",Belgian Pale Strong AleRanked #34,Belgian Pale Strong Ale,Ranked #34, 8.5%,"90Ranked #10,281",90,"Ranked #10,281",4.01 | pDev: 9.98%,4.01,9.98%,352,792,Active,"May 04, 2008"
Beazly,The Brewer's Art,"Maryland, United States",Belgian Pale Strong AleRanked #35,Belgian Pale Strong Ale,Ranked #35, 7.25%,"90Ranked #10,349",90,"Ranked #10,349",4.01 | pDev: 10.47%,4.01,10.47%,143,426,Active,"Jun 17, 2003"
Hoegaarden Grand Cru,Brouwerij van Hoegaarden,Belgium,Belgian Pale Strong AleRanked #36,Belgian Pale Strong Ale,Ranked #36, 8.5%,"90Ranked #10,354",90,"Ranked #10,354",4.01 | pDev: 10.72%,4.01,10.72%,201,397,Active,"Oct 14, 2001"
Winter Ale,Brasserie de l'Abbaye du Val-Dieu,Belgium,Belgian Pale Strong AleRanked #37,Belgian Pale Strong Ale,Ranked #37, 7%,"90Ranked #10,243",90,"Ranked #10,243",4.03 | pDev: 7.94%,4.03,7.94%,31,57,Active,"Nov 28, 2020"
Duvel Barrel Aged Irish Whiskey Barrel Edition (2022),Brouwerij Duvel Moortgat NV,Belgium,Belgian Pale Strong AleRanked #38,Belgian Pale Strong Ale,Ranked #38, 11.5%,"90Ranked #10,104",90,"Ranked #10,104",4.12 | pDev: 5.34%,4.12,5.34%,10,11,Active,"Jan 10, 2023"
Deceit,Funkwerks,"Colorado, United States",Belgian Pale Strong AleRanked #39,Belgian Pale Strong Ale,Ranked #39, 8.5%,"89Ranked #10,960",89,"Ranked #10,960",4 | pDev: 8.25%,4,8.25%,46,177,Active,"Aug 17, 2012"
Mischief,The Bruery,"California, United States",Belgian Pale Strong AleRanked #40,Belgian Pale Strong Ale,Ranked #40, 8.5%,"89Ranked #11,221",89,"Ranked #11,221",3.99 | pDev: 9.77%,3.99,9.77%,571,"1,991",Active,"Oct 05, 2009"
La Trappe Isid'or,Bierbrouwerij De Koningshoeven B.V.,Netherlands,Belgian Pale Strong AleRanked #41,Belgian Pale Strong Ale,Ranked #41, 7.5%,"89Ranked #11,239",89,"Ranked #11,239",3.99 | pDev: 9.52%,3.99,9.52%,315,815,Active,"Jul 10, 2009"
Tsjeeses Belgian X-Mas Ale,De Struise Brouwers,Belgium,Belgian Pale Strong AleRanked #42,Belgian Pale Strong Ale,Ranked #42, 10%,"89Ranked #11,261",89,"Ranked #11,261",3.99 | pDev: 10.78%,3.99,10.78%,252,483,Active,"Dec 14, 2006"
No Sparge,Taxman Brewing Co.,"Indiana, United States",Belgian Pale Strong AleRanked #43,Belgian Pale Strong Ale,Ranked #43, 12%,"89Ranked #10,801",89,"Ranked #10,801",4.04 | pDev: 6.44%,4.04,6.44%,14,24,Active,"Dec 28, 2018"
Barbe Noël,Brouwerij Verhaeghe,Belgium,Belgian Pale Strong AleRanked #44,Belgian Pale Strong Ale,Ranked #44, 10%,"89Ranked #11,125",89,"Ranked #11,125",4.02 | pDev: 7.96%,4.02,7.96%,15,34,Active,"Sep 09, 2017"
Moinette Biologique,Brasserie Dupont sprl,Belgium,Belgian Pale Strong AleRanked #45,Belgian Pale Strong Ale,Ranked #45, 7.5%,"89Ranked #10,860",89,"Ranked #10,860",4.09 | pDev: 4.65%,4.09,4.65%,3,11,Active,"Apr 08, 2017"
Malheur 10°,Brouwerij De Landtsheer NV,Belgium,Belgian Pale Strong AleRanked #46,Belgian Pale Strong Ale,Ranked #46, 10%,"89Ranked #11,760",89,"Ranked #11,760",3.98 | pDev: 10.05%,3.98,10.05%,246,427,Active,"Sep 18, 2002"
St. Feuillien Grand Cru,Brasserie St. Feuillien,Belgium,Belgian Pale Strong AleRanked #47,Belgian Pale Strong Ale,Ranked #47, 9.5%,"89Ranked #12,268",89,"Ranked #12,268",3.97 | pDev: 10.08%,3.97,10.08%,114,381,Active,"Sep 30, 2011"
Wise Monkeys,Manhattan Project Beer Company,"Texas, United States",Belgian Pale Strong AleRanked #48,Belgian Pale Strong Ale,Ranked #48, 10%,"89Ranked #11,362",89,"Ranked #11,362",4.07 | pDev: 7.62%,4.07,7.62%,6,11,Active,"Dec 22, 2018"
Duvel Gefilterd,Brouwerij Duvel Moortgat NV,Belgium,Belgian Pale Strong AleRanked #49,Belgian Pale Strong Ale,Ranked #49, 7.5%,"89Ranked #12,507",89,"Ranked #12,507",3.97 | pDev: 10.83%,3.97,10.83%,47,95,Active,"Sep 11, 2002"
668 Neighbor Of The Beast,New England Brewing Co.,"Connecticut, United States",Belgian Pale Strong AleRanked #50,Belgian Pale Strong Ale,Ranked #50, 7.8%,"89Ranked #12,709",89,"Ranked #12,709",3.96 | pDev: 9.85%,3.96,9.85%,231,933,Active,"May 29, 2010"
Frankenstark,Currahee Brewing Company,"North Carolina, United States",Belgian Pale Strong AleRanked #51,Belgian Pale Strong Ale,Ranked #51, 8.2%,"89Ranked #12,128",89,"Ranked #12,128",4.01 | pDev: 9.73%,4.01,9.73%,7,20,Active,"Jul 27, 2016"
Bière De Belœil,Brasserie Dupont sprl,Belgium,Belgian Pale Strong AleRanked #52,Belgian Pale Strong Ale,Ranked #52, 8.5%,"89Ranked #12,902",89,"Ranked #12,902",3.96 | pDev: 9.09%,3.96,9.09%,45,134,Active,"May 30, 2004"
Devilwood,Wicked Weed Brewing,"North Carolina, United States",Belgian Pale Strong AleRanked #53,Belgian Pale Strong Ale,Ranked #53, 9.7%,"89Ranked #12,800",89,"Ranked #12,800",3.97 | pDev: 8.06%,3.97,8.06%,9,51,Active,"Dec 29, 2013"
Gouden Carolus Indulgence - Botanik,Brouwerij Het Anker,Belgium,Belgian Pale Strong AleRanked #54,Belgian Pale Strong Ale,Ranked #54, 9.5%,"89Ranked #12,416",89,"Ranked #12,416",4.02 | pDev: 6.97%,4.02,6.97%,5,13,Active,"Dec 12, 2017"
Belgian Style Golden Strong,Ozark Beer Co.,"Arkansas, United States",Belgian Pale Strong AleRanked #55,Belgian Pale Strong Ale,Ranked #55, 7.5%,"89Ranked #13,103",89,"Ranked #13,103",3.96 | pDev: 9.6%,3.96,9.6%,10,64,Active,"Mar 27, 2014"
Super Bitter,Birra Baladin,Italy,Belgian Pale Strong AleRanked #56,Belgian Pale Strong Ale,Ranked #56, 8%,"88Ranked #13,384",88,"Ranked #13,384",3.96 | pDev: 9.85%,3.96,9.85%,9,38,Active,"Jun 09, 2013"
Zundert 8 Tripel,Trappistenbrouwerij de Kievit,Netherlands,Belgian Pale Strong AleRanked #57,Belgian Pale Strong Ale,Ranked #57, 8%,"88Ranked #13,746",88,"Ranked #13,746",3.94 | pDev: 8.63%,3.94,8.63%,104,272,Active,"Dec 06, 2013"
Bush De Charmes,Brasserie Dubuisson Frères sprl,Belgium,Belgian Pale Strong AleRanked #58,Belgian Pale Strong Ale,Ranked #58, 10.5%,"89Ranked #12,974",89,"Ranked #12,974",4 | pDev: 10.75%,4,10.75%,7,13,Active,"Feb 14, 2016"
Fallen Angel,Midnight Sun Brewing Co.,"Alaska, United States",Belgian Pale Strong AleRanked #59,Belgian Pale Strong Ale,Ranked #59, 8%,"88Ranked #13,862",88,"Ranked #13,862",3.94 | pDev: 9.64%,3.94,9.64%,64,131,Active,"Dec 19, 2006"
Triporteur Bling Bling Imperial King,BOMBrewery,Belgium,Belgian Pale Strong AleRanked #60,Belgian Pale Strong Ale,Ranked #60, 8.8%,"88Ranked #13,393",88,"Ranked #13,393",3.97 | pDev: 5.54%,3.97,5.54%,8,22,Active,"Jun 25, 2016"
Struise Tsjeeses Reserva (Porto Barrel Aged),De Struise Brouwers,Belgium,Belgian Pale Strong AleRanked #61,Belgian Pale Strong Ale,Ranked #61, 10%,"88Ranked #13,868",88,"Ranked #13,868",3.94 | pDev: 10.41%,3.94,10.41%,38,123,Active,"Sep 26, 2012"
Santa's Magic,Mickey Finn's Brewery,"Illinois, United States",Belgian Pale Strong AleRanked #62,Belgian Pale Strong Ale,Ranked #62, 7.2%,"88Ranked #13,258",88,"Ranked #13,258",3.99 | pDev: 7.27%,3.99,7.27%,5,13,Active,"Nov 30, 2008"
La Guillotine,Brouwerij Huyghe,Belgium,Belgian Pale Strong AleRanked #63,Belgian Pale Strong Ale,Ranked #63, 8.5%,"88Ranked #14,234",88,"Ranked #14,234",3.93 | pDev: 11.2%,3.93,11.2%,131,416,Active,"Jun 02, 2002"
Deliria,Brouwerij Huyghe,Belgium,Belgian Pale Strong AleRanked #64,Belgian Pale Strong Ale,Ranked #64, 8.5%,"88Ranked #14,298",88,"Ranked #14,298",3.93 | pDev: 8.65%,3.93,8.65%,64,208,Active,"Jan 26, 2014"
Hard Target,Aardwolf Brewing Company,"Florida, United States",Belgian Pale Strong AleRanked #65,Belgian Pale Strong Ale,Ranked #65, 8.7%,"88Ranked #13,468",88,"Ranked #13,468",3.99 | pDev: 6.27%,3.99,6.27%,2,11,Active,"Jul 24, 2015"
Old Split-Foot,Broken Bow Brewery,"New York, United States",Belgian Pale Strong AleRanked #66,Belgian Pale Strong Ale,Ranked #66, 10%,"88Ranked #13,755",88,"Ranked #13,755",3.97 | pDev: 8.31%,3.97,8.31%,5,14,Active,"Sep 21, 2015"
InvEster - Bourbon Barrel-Aged,Taxman Brewing Co.,"Indiana, United States",Belgian Pale Strong AleRanked #67,Belgian Pale Strong Ale,Ranked #67, 9%,"88Ranked #13,902",88,"Ranked #13,902",3.96 | pDev: 5.81%,3.96,5.81%,10,17,Active,"Oct 25, 2020"
Victoria Ale,Allagash Brewing Company,"Maine, United States",Belgian Pale Strong AleRanked #68,Belgian Pale Strong Ale,Ranked #68, 9%,"88Ranked #14,748",88,"Ranked #14,748",3.92 | pDev: 9.44%,3.92,9.44%,155,506,Active,"Apr 29, 2006"
St. Stefanus Blonde,Brouwerij Van Steenberge N.V.,Belgium,Belgian Pale Strong AleRanked #69,Belgian Pale Strong Ale,Ranked #69, 7%,"88Ranked #14,767",88,"Ranked #14,767",3.92 | pDev: 10.71%,3.92,10.71%,94,331,Active,"Mar 08, 2012"
Caracole Ambrée,Brasserie Caracole,Belgium,Belgian Pale Strong AleRanked #70,Belgian Pale Strong Ale,Ranked #70, 8%,"88Ranked #14,798",88,"Ranked #14,798",3.92 | pDev: 11.73%,3.92,11.73%,149,229,Active,"Oct 06, 2002"
Chardonnale,Brewery Ommegang,"New York, United States",Belgian Pale Strong AleRanked #71,Belgian Pale Strong Ale,Ranked #71, 8.7%,"88Ranked #13,825",88,"Ranked #13,825",3.98 | pDev: 4.27%,3.98,4.27%,2,10,Active,"Oct 04, 2020"
Merry Monkey,Victory Brewing Company - Downingtown,"Pennsylvania, United States",Belgian Pale Strong AleRanked #72,Belgian Pale Strong Ale,Ranked #72, 10%,"88Ranked #14,819",88,"Ranked #14,819",3.92 | pDev: 10.71%,3.92,10.71%,75,160,Active,"Oct 14, 2020"
Malheur 8°,Brouwerij De Landtsheer NV,Belgium,Belgian Pale Strong AleRanked #73,Belgian Pale Strong Ale,Ranked #73, 8%,"88Ranked #14,220",88,"Ranked #14,220",3.95 | pDev: 6.84%,3.95,6.84%,5,17,Active,"Mar 01, 2005"
Barbãr (Belgian Honey Ale),Brasserie Lefèbvre SA,Belgium,Belgian Pale Strong AleRanked #74,Belgian Pale Strong Ale,Ranked #74, 8%,"88Ranked #15,259",88,"Ranked #15,259",3.91 | pDev: 12.28%,3.91,12.28%,182,421,Active,"Oct 10, 2000"
Bush Caractère,Brasserie Dubuisson Frères sprl,Belgium,Belgian Pale Strong AleRanked #75,Belgian Pale Strong Ale,Ranked #75, 12%,"88Ranked #14,462",88,"Ranked #14,462",3.95 | pDev: 12.91%,3.95,12.91%,5,13,Active,"May 21, 2020"
