name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Budweiser Select 55,Anheuser-Busch,"Missouri, United States",Light LagerRanked #171,Light Lager,Ranked #171, 2.4%,"43Ranked #28,885",43,"Ranked #28,885",1.65 | pDev: 42.42%,1.65,42.42%,167,630,Active,"Sep 09, 2009"
Special Brew,Carlsberg Danmark A/S,Denmark,European Strong LagerRanked #49,European Strong Lager,Ranked #49, 9%,"64Ranked #28,677",64,"Ranked #28,677",2.5 | pDev: 30%,2.5,30%,27,51,Active,"Jun 15, 2002"
Carta Blanca,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",Mexico,American Adjunct LagerRanked #200,American Adjunct Lager,Ranked #200, 4.5%,"64Ranked #28,676",64,"Ranked #28,676",2.71 | pDev: 23.99%,2.71,23.99%,244,625,Active,"Aug 18, 2001"
Tiger Beer,Asia Pacific Breweries Limited,Singapore,European Pale LagerRanked #363,European Pale Lager,Ranked #363, 5%,"64Ranked #28,675",64,"Ranked #28,675",2.72 | pDev: 22.43%,2.72,22.43%,445,"1,199",Active,"Nov 25, 2001"
Lost Lake Naturally Brewed Pilsner,Melanie Brewing Company,"Wisconsin, United States",American LagerRanked #315,American Lager,Ranked #315, 4.2%,"64Ranked #28,674",64,"Ranked #28,674",2.51 | pDev: 33.07%,2.51,33.07%,27,52,Active,"Feb 20, 2010"
Oculto,Anheuser-Busch,"Missouri, United States",Fruit and Field BeerRanked #412,Fruit and Field Beer,Ranked #412, 6%,"64Ranked #28,673",64,"Ranked #28,673",2.71 | pDev: 30.26%,2.71,30.26%,154,477,Active,"Jan 04, 2015"
Sleeman Silver Creek Lager,Sleeman Breweries Ltd.,"Ontario, Canada",American LagerRanked #314,American Lager,Ranked #314, 5%,"64Ranked #28,672",64,"Ranked #28,672",2.6 | pDev: 20%,2.6,20%,39,86,Active,"Nov 30, 2002"
Angkor Beer,Cambrew / Angkor Brewery,Cambodia,American Adjunct LagerRanked #233,American Adjunct Lager,Ranked #233, 5%,"64Ranked #28,671",64,"Ranked #28,671",2.57 | pDev: 22.18%,2.57,22.18%,25,70,Active,"Aug 02, 2002"
"Amsterdam Navigator 8,4",Grolsch Bierbrouwerij N.V.,Netherlands,European Strong LagerRanked #52,European Strong Lager,Ranked #52, 8.4%,"64Ranked #28,670",64,"Ranked #28,670",2.46 | pDev: 21.54%,2.46,21.54%,13,42,Active,"Jun 30, 2008"
Modelo Especial Chelada,Grupo Modelo S.A. de C.V.,Mexico,Fruit and Field BeerRanked #414,Fruit and Field Beer,Ranked #414, 3.5%,"64Ranked #28,669",64,"Ranked #28,669",2.66 | pDev: 35.71%,2.66,35.71%,52,150,Active,"Sep 28, 2013"
Bergenbier,Bergenbier SA,Romania,European Pale LagerRanked #393,European Pale Lager,Ranked #393, 5%,"64Ranked #28,668",64,"Ranked #28,668",2.4 | pDev: 20.42%,2.4,20.42%,14,34,Active,"Dec 11, 2007"
Laker Ice Premium Lager,Waterloo Brewing,"Ontario, Canada",American Adjunct LagerRanked #261,American Adjunct Lager,Ranked #261, 5.5%,"64Ranked #28,667",64,"Ranked #28,667",2.39 | pDev: 27.2%,2.39,27.2%,19,33,Active,"Feb 11, 2003"
Heineken Lager Beer,Heineken Nederland B.V.,Netherlands,European Pale LagerRanked #356,European Pale Lager,Ranked #356, 5%,"64Ranked #28,666",64,"Ranked #28,666",2.74 | pDev: 25.91%,2.74,25.91%,"1,580","5,731",Active,"Jan 29, 2001"
Miller High Life,Miller Brewing Co.,"Wisconsin, United States",American Adjunct LagerRanked #192,American Adjunct Lager,Ranked #192, 4.6%,"64Ranked #28,665",64,"Ranked #28,665",2.74 | pDev: 29.2%,2.74,29.2%,"1,349","4,342",Active,"Sep 20, 2000"
Ichnusa,Heineken Italia SpA,Italy,European Pale LagerRanked #385,European Pale Lager,Ranked #385, 4.7%,"64Ranked #28,664",64,"Ranked #28,664",2.57 | pDev: 18.29%,2.57,18.29%,22,66,Active,"Jul 07, 2004"
Kirin Ichiban,"Kirin Brewery Company, Limited",Japan,American LagerRanked #313,American Lager,Ranked #313, 5%,"64Ranked #28,663",64,"Ranked #28,663",2.74 | pDev: 22.99%,2.74,22.99%,692,"2,135",Active,"Aug 17, 2001"
Bud Light Lime Apple-Ahhh-Rita,Anheuser-Busch,"Missouri, United States",Malt LiquorRanked #21,Malt Liquor,Ranked #21, 8%,"64Ranked #28,662",64,"Ranked #28,662",2.58 | pDev: 32.17%,2.58,32.17%,17,69,Active,"Jul 31, 2014"
Hoegaarden Citron,Brouwerij van Hoegaarden,Belgium,Fruit and Field BeerRanked #419,Fruit and Field Beer,Ranked #419, 3%,"64Ranked #28,661",64,"Ranked #28,661",2.41 | pDev: 27.39%,2.41,27.39%,11,34,Active,"Sep 03, 2008"
Chill Caribbean Beer,Brouwerij Nacional Balashi,Aruba,European Pale LagerRanked #387,European Pale Lager,Ranked #387, 5%,"64Ranked #28,660",64,"Ranked #28,660",2.56 | pDev: 26.17%,2.56,26.17%,12,61,Active,"Apr 25, 2011"
Finkbräu Pilsener,Oettinger Brauerei GmbH,Germany,German PilsnerRanked #658,German Pilsner,Ranked #658, 4.9%,"64Ranked #28,659",64,"Ranked #28,659",2.39 | pDev: 28.45%,2.39,28.45%,16,32,Active,"Mar 23, 2008"
Polar Pilsen,Cervecería Polar,Venezuela,European Pale LagerRanked #367,European Pale Lager,Ranked #367, 4.5%,"64Ranked #28,658",64,"Ranked #28,658",2.68 | pDev: 29.48%,2.68,29.48%,55,167,Active,"Jun 08, 2002"
Tennent's Super Strong Lager,Tennent Caledonian Breweries,"Scotland, United Kingdom",European Strong LagerRanked #42,European Strong Lager,Ranked #42, 9%,"64Ranked #28,657",64,"Ranked #28,657",2.61 | pDev: 34.48%,2.61,34.48%,36,82,Active,"Oct 30, 2001"
Moosehead Light,Moosehead Breweries Ltd.,"New Brunswick, Canada",Light LagerRanked #112,Light Lager,Ranked #112, 4%,"64Ranked #28,656",64,"Ranked #28,656",2.62 | pDev: 22.9%,2.62,22.9%,30,88,Active,"Jul 19, 2003"
Redd's Apple Ale,Miller Brewing Co.,"Wisconsin, United States",Fruit and Field BeerRanked #411,Fruit and Field Beer,Ranked #411, 5%,"65Ranked #28,655",65,"Ranked #28,655",2.74 | pDev: 30.66%,2.74,30.66%,193,"1,131",Active,"Nov 18, 2012"
Birra Peroni,Birra Peroni Industriale S.p.A.,Italy,American Adjunct LagerRanked #195,American Adjunct Lager,Ranked #195, 4.7%,"65Ranked #28,654",65,"Ranked #28,654",2.73 | pDev: 21.61%,2.73,21.61%,48,481,Active,"Jul 05, 2011"
Dos Equis Special Lager,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",Mexico,American Adjunct LagerRanked #187,American Adjunct Lager,Ranked #187, 4.2%,"65Ranked #28,653",65,"Ranked #28,653",2.75 | pDev: 23.64%,2.75,23.64%,695,"3,018",Active,"Nov 02, 2001"
Mythos Hellenic Lager Beer,Mythos Breweries S.A.,Greece,European Pale LagerRanked #355,European Pale Lager,Ranked #355, 4.7%,"65Ranked #28,652",65,"Ranked #28,652",2.74 | pDev: 21.17%,2.74,21.17%,307,799,Active,"Mar 31, 2002"
Cerveza Pacifico Clara,Grupo Modelo S.A. de C.V.,Mexico,American Adjunct LagerRanked #186,American Adjunct Lager,Ranked #186, 4.5%,"65Ranked #28,651",65,"Ranked #28,651",2.75 | pDev: 24%,2.75,24%,645,"2,298",Active,"Apr 02, 2002"
Carib Ginger Shandy,Carib Brewery Limited,Trinidad & Tobago,Herb and Spice BeerRanked #94,Herb and Spice Beer,Ranked #94, 1.2%,"65Ranked #28,650",65,"Ranked #28,650",2.43 | pDev: 26.75%,2.43,26.75%,22,35,Active,"Mar 13, 2008"
Molson Golden,Molson Coors Canada,"Ontario, Canada",American Adjunct LagerRanked #190,American Adjunct Lager,Ranked #190, 5%,"65Ranked #28,649",65,"Ranked #28,649",2.74 | pDev: 24.09%,2.74,24.09%,252,706,Active,"Aug 21, 2001"
Bud Light Lime Peach-A-Rita,Anheuser-Busch,"Missouri, United States",Malt LiquorRanked #33,Malt Liquor,Ranked #33, 8%,"65Ranked #28,648",65,"Ranked #28,648",2.32 | pDev: 32.33%,2.32,32.33%,11,26,Active,"Mar 05, 2017"
Amigos,Global Brands Ltd.,"England, United Kingdom",American LagerRanked #316,American Lager,Ranked #316, 5.5%,"65Ranked #28,647",65,"Ranked #28,647",2.16 | pDev: 33.33%,2.16,33.33%,6,19,Active,"Jul 07, 2013"
Bir Bintang Pilsner,Bintang,Indonesia,American Adjunct LagerRanked #205,American Adjunct Lager,Ranked #205, 4.7%,"65Ranked #28,646",65,"Ranked #28,646",2.69 | pDev: 22.68%,2.69,22.68%,56,162,Active,"Oct 19, 2001"
Old German,Pittsburgh Brewing Co.,"Pennsylvania, United States",American Adjunct LagerRanked #207,American Adjunct Lager,Ranked #207, 4.2%,"65Ranked #28,645",65,"Ranked #28,645",2.68 | pDev: 30.6%,2.68,30.6%,56,140,Active,"Dec 25, 2002"
Cruzcampo Pilsener,Grupo Cruzcampo SA,Spain,German PilsnerRanked #657,German Pilsner,Ranked #657, 4.8%,"65Ranked #28,644",65,"Ranked #28,644",2.67 | pDev: 31.46%,2.67,31.46%,34,120,Active,"Jun 19, 2004"
Cerveza Aguila,Cervecería De Barranquilla,Colombia,American Adjunct LagerRanked #203,American Adjunct Lager,Ranked #203, 4%,"65Ranked #28,643",65,"Ranked #28,643",2.7 | pDev: 20.74%,2.7,20.74%,78,176,Active,"Nov 04, 2002"
Tuborg Pilsner Beer (Green / Grøn),Tuborgs Bryggerier A/S,Denmark,European Pale LagerRanked #357,European Pale Lager,Ranked #357, 4.6%,"65Ranked #28,642",65,"Ranked #28,642",2.73 | pDev: 21.98%,2.73,21.98%,107,326,Active,"Oct 03, 2003"
Cerveza Cristal,Cerveceria Bucanero S.A.,Cuba,American Adjunct LagerRanked #206,American Adjunct Lager,Ranked #206, 4.9%,"65Ranked #28,641",65,"Ranked #28,641",2.68 | pDev: 28.36%,2.68,28.36%,47,124,Active,"Feb 18, 2003"
Earthquake High Gravity Lager (10%),"City Brewing Company, LLC","Wisconsin, United States",Malt LiquorRanked #19,Malt Liquor,Ranked #19, 10%,"65Ranked #28,640",65,"Ranked #28,640",2.62 | pDev: 35.5%,2.62,35.5%,50,74,Active,"Sep 19, 2015"
Bali Hai Premium,PT Bali Hai Brewery Indonesia,Indonesia,American Adjunct LagerRanked #249,American Adjunct Lager,Ranked #249, 5%,"65Ranked #28,639",65,"Ranked #28,639",2.46 | pDev: 21.95%,2.46,21.95%,18,36,Active,"Mar 24, 2004"
Presidente,Cervecería Nacional Dominicana,Dominican Republic,American Adjunct LagerRanked #183,American Adjunct Lager,Ranked #183, 5%,"65Ranked #28,638",65,"Ranked #28,638",2.76 | pDev: 24.28%,2.76,24.28%,306,901,Active,"May 24, 2002"
Grain Belt Premium Light,August Schell Brewing Company,"Minnesota, United States",Light LagerRanked #115,Light Lager,Ranked #115, 3.9%,"65Ranked #28,637",65,"Ranked #28,637",2.55 | pDev: 24.31%,2.55,24.31%,21,50,Active,"Jun 27, 2004"
Superior,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",Mexico,American Adjunct LagerRanked #220,American Adjunct Lager,Ranked #220, 3.6%,"65Ranked #28,636",65,"Ranked #28,636",2.63 | pDev: 21.67%,2.63,21.67%,34,77,Active,"Nov 04, 2003"
