name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Tiny Bomb,Wiseacre Brewing - Broad Ave OG,"Tennessee, United States",Bohemian / Czech PilsnerRanked #127,Bohemian / Czech Pilsner,Ranked #127, 4.5%,"86Ranked #20,192",86,"Ranked #20,192",3.8 | pDev: 11.05%,3.8,11.05%,75,327,Active,"Oct 25, 2013"
Summer Of Lager,Cisco Brewers Inc.,"Massachusetts, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5.6%,83,83,Na,3.66 | pDev: 11.75%,3.66,11.75%,99,319,Active,"Sep 05, 2001"
Edel-Pils,New Glarus Brewing Company,"Wisconsin, United States",Bohemian / Czech PilsnerRanked #87,Bohemian / Czech Pilsner,Ranked #87, 5.3%,"87Ranked #18,061",87,"Ranked #18,061",3.85 | pDev: 11.17%,3.85,11.17%,133,318,Active,"Apr 08, 2002"
Shiner 101 Czech Style Pilsner,Spoetzl Brewery,"Texas, United States",Bohemian / Czech PilsnerRanked #282,Bohemian / Czech Pilsner,Ranked #282, 4.8%,"79Ranked #26,738",79,"Ranked #26,738",3.48 | pDev: 13.79%,3.48,13.79%,115,301,Active,"Jan 29, 2010"
Turntable Pils,Great Lakes Brewing Co.,"Ohio, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5.3%,87,87,Na,3.88 | pDev: 9.79%,3.88,9.79%,77,300,Active,"Feb 16, 2016"
Rebel,Měšťanský pivovar Havlíčkův Brod,Czechia,Bohemian / Czech PilsnerRanked #306,Bohemian / Czech Pilsner,Ranked #306, 4.4%,"77Ranked #27,397",77,"Ranked #27,397",3.37 | pDev: 16.02%,3.37,16.02%,200,296,Active,"Nov 14, 2000"
Joseph's Brau Bohemian Lager,Trader Joe's Brewing Company,"California, United States",Bohemian / Czech PilsnerRanked #338,Bohemian / Czech Pilsner,Ranked #338, 5%,"73Ranked #27,998",73,"Ranked #27,998",3.17 | pDev: 16.72%,3.17,16.72%,136,278,Active,"Jan 17, 2005"
Josephs Brau PLZNR Czech-Style Lager,Trader Joe's Brewing Company,"California, United States",Bohemian / Czech PilsnerRanked #315,Bohemian / Czech Pilsner,Ranked #315, 5.4%,"77Ranked #27,525",77,"Ranked #27,525",3.34 | pDev: 12.57%,3.34,12.57%,87,269,Active,"Dec 21, 2011"
Saranac Bohemian Pilsener,Matt Brewing Company / Saranac Brewery,"New York, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 4.8%,77,77,Na,3.35 | pDev: 15.52%,3.35,15.52%,148,238,Active,"Oct 15, 2008"
Pontius Road Pilsner,Short's Brewing Company,"Michigan, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 4.7%,81,81,Na,3.55 | pDev: 13.8%,3.55,13.8%,75,237,Active,"Feb 25, 2007"
Pilsner,The Schlafly Tap Room,"Missouri, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5%,83,83,Na,3.69 | pDev: 12.74%,3.69,12.74%,127,222,Active,"Oct 20, 2002"
Long Day Lager,Red Hare Brewing Company,"Georgia, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 4.98%,80,80,Na,3.51 | pDev: 18.52%,3.51,18.52%,31,220,Active,"Sep 09, 2011"
Alexandr,Schilling Beer Co.,"New Hampshire, United States",Bohemian / Czech PilsnerRanked #9,Bohemian / Czech Pilsner,Ranked #9, 5%,"91Ranked #6,960",91,"Ranked #6,960",4.09 | pDev: 8.07%,4.09,8.07%,79,218,Active,"May 04, 2015"
Scrag Mountain Pils,Lawson's Finest Liquids,"Vermont, United States",Bohemian / Czech PilsnerRanked #23,Bohemian / Czech Pilsner,Ranked #23, 4.8%,"89Ranked #10,934",89,"Ranked #10,934",4 | pDev: 6.75%,4,6.75%,66,215,Active,"Oct 27, 2018"
Žatec,Žatecký Pivovar,Czechia,Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 4.6%,81,81,Na,3.55 | pDev: 14.65%,3.55,14.65%,138,199,Active,"Dec 24, 2005"
Praga Premium Pils,První Budějovický Pivovar Samson,Czechia,Bohemian / Czech PilsnerRanked #311,Bohemian / Czech Pilsner,Ranked #311, 4.7%,"77Ranked #27,441",77,"Ranked #27,441",3.35 | pDev: 16.12%,3.35,16.12%,84,190,Active,"Nov 20, 2005"
Lime Pilsner,Uinta Brewing Company,"Utah, United States",Bohemian / Czech PilsnerRanked #209,Bohemian / Czech Pilsner,Ranked #209, 5.3%,"83Ranked #24,465",83,"Ranked #24,465",3.65 | pDev: 11.23%,3.65,11.23%,51,180,Active,"Mar 25, 2017"
Pils,Heater Allen Brewing,"Oregon, United States",Bohemian / Czech PilsnerRanked #6,Bohemian / Czech Pilsner,Ranked #6, 5.1%,"92Ranked #4,776",92,"Ranked #4,776",4.15 | pDev: 9.16%,4.15,9.16%,75,180,Active,"Dec 15, 2007"
Wonderstuff,Bauhaus Brew Labs,"Minnesota, United States",Bohemian / Czech PilsnerRanked #58,Bohemian / Czech Pilsner,Ranked #58, 5.1%,"87Ranked #15,721",87,"Ranked #15,721",3.9 | pDev: 9.23%,3.9,9.23%,44,175,Active,"Jul 17, 2014"
Czech Pilsner,Moat Mountain Smoke House & Brewing Co.,"New Hampshire, United States",Bohemian / Czech PilsnerRanked #151,Bohemian / Czech Pilsner,Ranked #151, 4.9%,"85Ranked #21,560",85,"Ranked #21,560",3.76 | pDev: 11.7%,3.76,11.7%,34,164,Active,"Oct 18, 2006"
Sound Czech,Terrapin Beer Company,"Georgia, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5.5%,86,86,Na,3.81 | pDev: 9.71%,3.81,9.71%,48,164,Active,"Aug 02, 2010"
Kozel,Pivovar Velké Popovice a.s.,Czechia,Bohemian / Czech PilsnerRanked #319,Bohemian / Czech Pilsner,Ranked #319, 5%,"77Ranked #27,549",77,"Ranked #27,549",3.32 | pDev: 16.87%,3.32,16.87%,67,164,Active,"Aug 12, 2002"
Creemore Springs Traditional Pilsner,Creemore Springs Brewery Limited,"Ontario, Canada",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5.3%,81,81,Na,3.54 | pDev: 12.71%,3.54,12.71%,77,161,Active,"May 22, 2007"
Primátor Premium,Pivovar Náchod a.s.,Czechia,Bohemian / Czech PilsnerRanked #256,Bohemian / Czech Pilsner,Ranked #256, 5%,"81Ranked #25,882",81,"Ranked #25,882",3.56 | pDev: 12.36%,3.56,12.36%,86,151,Active,"Nov 16, 2001"
Kozel Premium,Pivovar Velké Popovice a.s.,Czechia,Bohemian / Czech PilsnerRanked #300,Bohemian / Czech Pilsner,Ranked #300, 4.8%,"78Ranked #27,175",78,"Ranked #27,175",3.4 | pDev: 14.71%,3.4,14.71%,54,150,Active,"Oct 15, 2008"
HUB Lager,Hopworks Urban Brewery,"Oregon, United States",Bohemian / Czech PilsnerRanked #219,Bohemian / Czech Pilsner,Ranked #219, 5.1%,"82Ranked #24,796",82,"Ranked #24,796",3.63 | pDev: 15.43%,3.63,15.43%,46,149,Active,"Mar 25, 2008"
Tooth & Claw,Off Color Brewing,"Illinois, United States",Bohemian / Czech PilsnerRanked #71,Bohemian / Czech Pilsner,Ranked #71, 5%,"87Ranked #16,638",87,"Ranked #16,638",3.88 | pDev: 10.31%,3.88,10.31%,42,146,Active,"Jan 29, 2014"
Kelso Pilsner,KelSo Beer Company,"New York, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5.5%,82,82,Na,3.59 | pDev: 11.7%,3.59,11.7%,43,145,Active,"Feb 12, 2009"
Downright Pilsner,Port City Brewing,"Virginia, United States",Bohemian / Czech PilsnerRanked #261,Bohemian / Czech Pilsner,Ranked #261, 4.8%,"81Ranked #26,102",81,"Ranked #26,102",3.54 | pDev: 11.58%,3.54,11.58%,37,141,Active,"Jun 20, 2012"
Double Aught,Bear Republic Brewing Co.,"California, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5%,83,83,Na,3.68 | pDev: 9.51%,3.68,9.51%,40,140,Active,"Sep 26, 2008"
Gambrinus,Plzeňský Prazdroj,Czechia,Bohemian / Czech PilsnerRanked #299,Bohemian / Czech Pilsner,Ranked #299, 5%,"78Ranked #27,159",78,"Ranked #27,159",3.4 | pDev: 14.12%,3.4,14.12%,55,138,Active,"Sep 07, 2002"
Bohemian Pilsner,Harpoon Brewery & Beer Hall,"Massachusetts, United States",Bohemian / Czech PilsnerRanked #223,Bohemian / Czech Pilsner,Ranked #223, 4.7%,"82Ranked #24,946",82,"Ranked #24,946",3.62 | pDev: 14.64%,3.62,14.64%,47,135,Active,"Apr 18, 2011"
Pilsner,Steamworks Brewing Company,"British Columbia, Canada",Bohemian / Czech PilsnerRanked #98,Bohemian / Czech Pilsner,Ranked #98, 5%,"86Ranked #18,400",86,"Ranked #18,400",3.84 | pDev: 9.64%,3.84,9.64%,41,131,Active,"Apr 15, 2005"
Ice,Modern Times Beer,"California, United States",Bohemian / Czech PilsnerRanked #99,Bohemian / Czech Pilsner,Ranked #99, 4.7%,"86Ranked #18,386",86,"Ranked #18,386",3.84 | pDev: 10.94%,3.84,10.94%,31,124,Active,"Apr 05, 2016"
B.B. Bürgerbräu,První Budějovický Pivovar Samson,Czechia,Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 4.7%,77,77,Na,3.32 | pDev: 17.77%,3.32,17.77%,108,122,Active,"Dec 21, 2003"
Rhino Chasers Pilsner,Lost Rhino Brewing Company,"Virginia, United States",Bohemian / Czech PilsnerRanked #198,Bohemian / Czech Pilsner,Ranked #198, 5.6%,"83Ranked #23,917",83,"Ranked #23,917",3.67 | pDev: 12.26%,3.67,12.26%,29,122,Active,"Jul 01, 2011"
Charleston Lager,Palmetto Brewing Company,"South Carolina, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5.4%,77,77,Na,3.34 | pDev: 14.07%,3.34,14.07%,51,121,Active,"Feb 07, 2002"
Machine Czech Pilz,Bunker Brewing Co.,"Maine, United States",Bohemian / Czech PilsnerRanked #100,Bohemian / Czech Pilsner,Ranked #100, 5.2%,"86Ranked #18,385",86,"Ranked #18,385",3.84 | pDev: 10.42%,3.84,10.42%,35,120,Active,"Apr 30, 2013"
Hansel And Gretel,Elysian Brewing Company,"Washington, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 4.7%,74,74,Na,3.15 | pDev: 23.81%,3.15,23.81%,32,114,Active,"Dec 10, 2007"
Zlatorog,Pivovarna Laško,Slovenia,Bohemian / Czech PilsnerRanked #343,Bohemian / Czech Pilsner,Ranked #343, 4.9%,"73Ranked #28,074",73,"Ranked #28,074",3.1 | pDev: 23.55%,3.1,23.55%,59,114,Active,"Apr 02, 2005"
East Village Pilsner,Green Flash Brewing Co.,"California, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5.3%,84,84,Na,3.7 | pDev: 10.27%,3.7,10.27%,19,112,Active,"Aug 07, 2012"
19-33 Queens Lagrrr!,SingleCut Beersmiths,"New York, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5.4%,83,83,Na,3.65 | pDev: 12.05%,3.65,12.05%,13,110,Active,"Feb 10, 2013"
Bloody Show,Against The Grain Brewery & Smokehouse,"Kentucky, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5.5%,85,85,Na,3.76 | pDev: 12.23%,3.76,12.23%,29,110,Active,"Feb 22, 2012"
Puma,Rhinegeist Brewery,"Ohio, United States",Bohemian / Czech PilsnerRanked #185,Bohemian / Czech Pilsner,Ranked #185, 5.2%,"84Ranked #22,875",84,"Ranked #22,875",3.71 | pDev: 11.59%,3.71,11.59%,18,108,Active,"Jul 18, 2014"
Gold Star Pilsner,Lancaster Brewing Company,"Pennsylvania, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5.1%,80,80,Na,3.51 | pDev: 14.53%,3.51,14.53%,55,105,Active,"Mar 24, 2003"
Kozel Svétlý 10° (Pale),Pivovar Velké Popovice a.s.,Czechia,Bohemian / Czech PilsnerRanked #310,Bohemian / Czech Pilsner,Ranked #310, 4%,"77Ranked #27,383",77,"Ranked #27,383",3.34 | pDev: 15.87%,3.34,15.87%,36,103,Active,"Jul 05, 2004"
Starobrno,"Pivovar Starbrno, A.S.",Czechia,Bohemian / Czech PilsnerRanked #266,Bohemian / Czech Pilsner,Ranked #266, 5%,"81Ranked #26,110",81,"Ranked #26,110",3.53 | pDev: 14.45%,3.53,14.45%,63,103,Active,"Sep 15, 2002"
Pilsener,Potosi Brewing Company,"Wisconsin, United States",Bohemian / Czech PilsnerRanked #228,Bohemian / Czech Pilsner,Ranked #228, 5.5%,"82Ranked #25,003",82,"Ranked #25,003",3.61 | pDev: 14.4%,3.61,14.4%,28,99,Active,"Apr 27, 2009"
Pilsen,Cerveceria Costa Rica,Costa Rica,Bohemian / Czech PilsnerRanked #351,Bohemian / Czech Pilsner,Ranked #351, 5.1%,"69Ranked #28,422",69,"Ranked #28,422",2.86 | pDev: 21.68%,2.86,21.68%,31,96,Active,"Oct 04, 2003"
Buckeye Beer,Maumee Bay Brewing Company,"Ohio, United States",Bohemian / Czech PilsnerRanked #340,Bohemian / Czech Pilsner,Ranked #340, 4.5%,"73Ranked #28,003",73,"Ranked #28,003",3.12 | pDev: 18.27%,3.12,18.27%,45,95,Active,"Oct 01, 2003"
Prince Of Pilsen,Three Taverns Craft Brewery,"Georgia, United States",Bohemian / Czech PilsnerRanked #52,Bohemian / Czech Pilsner,Ranked #52, 5%,"88Ranked #14,888",88,"Ranked #14,888",3.92 | pDev: 9.44%,3.92,9.44%,23,95,Active,"Sep 11, 2014"
Sváteční Ležák 12°,Bernard Family Brewery,Czechia,Bohemian / Czech PilsnerRanked #265,Bohemian / Czech Pilsner,Ranked #265, 5%,"81Ranked #26,080",81,"Ranked #26,080",3.53 | pDev: 12.75%,3.53,12.75%,31,95,Active,"Oct 15, 2003"
Park Day Bohemian Pilsner,Mother Earth Brewing,"North Carolina, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 4.9%,86,86,Na,3.81 | pDev: 10.24%,3.81,10.24%,21,95,Active,"Mar 28, 2014"
6th Borough Pilsner,Captain Lawrence Brewing Co.,"New York, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5%,85,85,Na,3.78 | pDev: 7.94%,3.78,7.94%,34,94,Active,"Feb 29, 2016"
Roger's Pils,Georgetown Brewing Company,"Washington, United States",Bohemian / Czech PilsnerRanked #252,Bohemian / Czech Pilsner,Ranked #252, 4.9%,"81Ranked #25,738",81,"Ranked #25,738",3.56 | pDev: 14.61%,3.56,14.61%,32,92,Active,"Mar 27, 2005"
Red Racer Pilsner,Central City Brewers + Distillers,"British Columbia, Canada",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5%,82,82,Na,3.59 | pDev: 10.86%,3.59,10.86%,30,92,Active,"Apr 27, 2013"
Holy City Pilsner,Holy City Brewing,"South Carolina, United States",Bohemian / Czech PilsnerRanked #233,Bohemian / Czech Pilsner,Ranked #233, 5%,"82Ranked #25,123",82,"Ranked #25,123",3.6 | pDev: 16.67%,3.6,16.67%,16,91,Active,"Sep 06, 2011"
Blue Hen Pilsner,Dogfish Head Craft Brewery,"Delaware, United States",Bohemian / Czech PilsnerRanked #119,Bohemian / Czech Pilsner,Ranked #119, 4.8%,"86Ranked #19,161",86,"Ranked #19,161",3.82 | pDev: 7.85%,3.82,7.85%,35,89,Active,"Jul 08, 2021"
Technical Ecstasy,2nd Shift Brewing,"Missouri, United States",Bohemian / Czech PilsnerRanked #68,Bohemian / Czech Pilsner,Ranked #68, 5.4%,"87Ranked #16,228",87,"Ranked #16,228",3.89 | pDev: 8.74%,3.89,8.74%,26,88,Active,"Jun 21, 2015"
Purple Gang Pilsner,Atwater Brewery,"Michigan, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5.5%,77,77,Na,3.3 | pDev: 15.76%,3.3,15.76%,14,86,Active,"Mar 15, 2012"
Creemore Springs Lot 9 Pilsner,Creemore Springs Brewery Limited,"Ontario, Canada",Bohemian / Czech PilsnerRanked #273,Bohemian / Czech Pilsner,Ranked #273, 4.7%,"80Ranked #26,344",80,"Ranked #26,344",3.5 | pDev: 10.29%,3.5,10.29%,28,86,Active,"Mar 26, 2015"
Plain Top Pils,SingleCut Beersmiths,"New York, United States",Bohemian / Czech PilsnerRanked #75,Bohemian / Czech Pilsner,Ranked #75, 5.2%,"87Ranked #16,590",87,"Ranked #16,590",3.88 | pDev: 5.93%,3.88,5.93%,29,84,Active,"Aug 02, 2018"
Workingman's Pilsner,Fountain Square Brewing Co.,"Indiana, United States",Bohemian / Czech PilsnerRanked #202,Bohemian / Czech Pilsner,Ranked #202, 5%,"83Ranked #23,962",83,"Ranked #23,962",3.66 | pDev: 13.11%,3.66,13.11%,11,84,Active,"Mar 17, 2012"
Dock Street Bohemian Pilsner,Dock Street South,"Pennsylvania, United States",Bohemian / Czech PilsnerRanked #247,Bohemian / Czech Pilsner,Ranked #247, 5%,"82Ranked #25,532",82,"Ranked #25,532",3.57 | pDev: 15.13%,3.57,15.13%,48,83,Active,"Aug 01, 2004"
California Dream,Mikkeller ApS,Denmark,Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 4.6%,88,88,Na,3.94 | pDev: 6.35%,3.94,6.35%,24,81,Active,"Sep 08, 2016"
Pick Six Pilsner,Pizza Port Bressi Ranch,"California, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5.2%,87,87,Na,3.88 | pDev: 7.73%,3.88,7.73%,24,81,Active,"May 11, 2015"
Paradox Pilsner,Paradox Brewery,"New York, United States",Bohemian / Czech PilsnerRanked #113,Bohemian / Czech Pilsner,Ranked #113, 5%,"86Ranked #18,724",86,"Ranked #18,724",3.83 | pDev: 11.23%,3.83,11.23%,26,79,Active,"Oct 04, 2013"
Palmovka 12°,Schilling Beer Co.,"New Hampshire, United States",Bohemian / Czech PilsnerRanked #19,Bohemian / Czech Pilsner,Ranked #19, 5.5%,"90Ranked #8,757",90,"Ranked #8,757",4.06 | pDev: 9.36%,4.06,9.36%,26,78,Active,"Apr 28, 2014"
Czech Pilsener,Bohemian Brewery,"Utah, United States",Bohemian / Czech PilsnerRanked #201,Bohemian / Czech Pilsner,Ranked #201, 4.8%,"83Ranked #23,926",83,"Ranked #23,926",3.66 | pDev: 15.03%,3.66,15.03%,43,77,Active,"Apr 17, 2004"
Xingu Gold Beer,Cervejaria Kaiser,Brazil,Bohemian / Czech PilsnerRanked #322,Bohemian / Czech Pilsner,Ranked #322, 4.7%,"76Ranked #27,597",76,"Ranked #27,597",3.27 | pDev: 15.6%,3.27,15.6%,25,77,Active,"May 26, 2013"
Yellow Snow Pilsner,Rogue Ales,"Oregon, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5.5%,83,83,Na,3.67 | pDev: 12.81%,3.67,12.81%,25,76,Active,"Nov 06, 2017"
Samson 1795 Original Czech Lager,První Budějovický Pivovar Samson,Czechia,Bohemian / Czech PilsnerRanked #318,Bohemian / Czech Pilsner,Ranked #318, 4.7%,"77Ranked #27,475",77,"Ranked #27,475",3.3 | pDev: 18.48%,3.3,18.48%,30,74,Active,"Oct 06, 2006"
ViaEmilia,Birrificio Del Ducato,Italy,Bohemian / Czech PilsnerRanked #96,Bohemian / Czech Pilsner,Ranked #96, 4.8%,"87Ranked #17,875",87,"Ranked #17,875",3.85 | pDev: 7.01%,3.85,7.01%,34,72,Active,"Nov 03, 2007"
Buoy Czech-Style Pilsner,Buoy Beer Company,"Oregon, United States",Bohemian / Czech PilsnerRanked #67,Bohemian / Czech Pilsner,Ranked #67, 6.2%,"87Ranked #15,763",87,"Ranked #15,763",3.9 | pDev: 9.23%,3.9,9.23%,19,72,Active,"Jun 17, 2014"
Bohemian Pilsener,Cerveceria Patagonia Primitiva S.A.,Argentina,Bohemian / Czech PilsnerRanked #309,Bohemian / Czech Pilsner,Ranked #309, 5.2%,"77Ranked #27,335",77,"Ranked #27,335",3.33 | pDev: 14.71%,3.33,14.71%,23,71,Active,"Nov 03, 2014"
Roly Poly Pils,River Horse Brewing Co.,"New Jersey, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5.3%,85,85,Na,3.78 | pDev: 10.85%,3.78,10.85%,26,71,Active,"Mar 08, 2016"
Pistol Whip'd,Noble Ale Works,"California, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 4.2%,81,81,Na,3.51 | pDev: 12.25%,3.51,12.25%,11,69,Active,"Nov 05, 2012"
Imposter,Barrier Brewing Company,"New York, United States",Bohemian / Czech Pilsner,Bohemian / Czech Pilsner,Na, 5%,84,84,Na,3.68 | pDev: 8.42%,3.68,8.42%,16,69,Active,"Jul 15, 2012"
Staropramen Lager,Pivovary Staropramen,Czechia,Czech Pale LagerRanked #22,Czech Pale Lager,Ranked #22, 5%,"77Ranked #27,494",77,"Ranked #27,494",3.36 | pDev: 16.07%,3.36,16.07%,363,925,Active,"Aug 21, 2001"
Pils,Notch Brewing,"Massachusetts, United States",Czech Pale LagerRanked #17,Czech Pale Lager,Ranked #17, 4%,"82Ranked #24,749",82,"Ranked #24,749",3.64 | pDev: 12.36%,3.64,12.36%,67,268,Active,"Mar 17, 2011"
Coolship Lager,OEC Brewing (Ordinem Ecentrici Coctores),"Connecticut, United States",Czech Pale LagerRanked #12,Czech Pale Lager,Ranked #12, 5.2%,"88Ranked #13,430",88,"Ranked #13,430",3.95 | pDev: 10.38%,3.95,10.38%,37,105,Active,"Apr 14, 2019"
Bohemia Regent Premium Pale Lager,Pivovar Regent Třeboň,Czechia,Czech Pale LagerRanked #21,Czech Pale Lager,Ranked #21, 5%,"78Ranked #27,256",78,"Ranked #27,256",3.34 | pDev: 16.47%,3.34,16.47%,31,62,Active,"Nov 23, 2003"
Pale Lager,Sacred Profane Brewery and Tankpub,"Maine, United States",Czech Pale LagerRanked #4,Czech Pale Lager,Ranked #4, 4.2%,"91Ranked #7,047",91,"Ranked #7,047",4.12 | pDev: 9.47%,4.12,9.47%,16,45,Active,"Sep 02, 2022"
Gambrinus Original 10°,Plzeňský Prazdroj,Czechia,Czech Pale LagerRanked #23,Czech Pale Lager,Ranked #23, 4.3%,"76Ranked #27,580",76,"Ranked #27,580",3.22 | pDev: 19.25%,3.22,19.25%,10,44,Active,"Aug 02, 2013"
Herold Bohemian Wheat Lager,Pivovar Herold Březnice A.s.,Czechia,Czech Pale Lager,Czech Pale Lager,Na, 5.1%,85,85,Na,3.76 | pDev: 11.7%,3.76,11.7%,38,42,Active,"Nov 08, 2002"
Side Pull,Fair State Brewing Cooperative,"Minnesota, United States",Czech Pale LagerRanked #2,Czech Pale Lager,Ranked #2, 4.1%,"92Ranked #5,530",92,"Ranked #5,530",4.17 | pDev: 6%,4.17,6%,15,41,Active,"Sep 13, 2020"
Světlý Ležák 12° (Bohemian Lager),Bernard Family Brewery,Czechia,Czech Pale LagerRanked #20,Czech Pale Lager,Ranked #20, 4.9%,"81Ranked #26,171",81,"Ranked #26,171",3.47 | pDev: 14.41%,3.47,14.41%,14,39,Active,"May 23, 2012"
Svijanský Máz 11%,Pivovar Svijany,Czechia,Czech Pale LagerRanked #16,Czech Pale Lager,Ranked #16, 4.8%,"83Ranked #23,714",83,"Ranked #23,714",3.64 | pDev: 13.19%,3.64,13.19%,12,36,Active,"Sep 26, 2010"
Branik Svetly,Pivovary Staropramen,Czechia,Czech Pale LagerRanked #26,Czech Pale Lager,Ranked #26, 4.1%,"71Ranked #28,256",71,"Ranked #28,256",2.83 | pDev: 22.97%,2.83,22.97%,17,35,Active,"Aug 15, 2004"
Lena 10°,Schilling Beer Co.,"New Hampshire, United States",Czech Pale LagerRanked #8,Czech Pale Lager,Ranked #8, 4.3%,"90Ranked #10,025",90,"Ranked #10,025",4.05 | pDev: 7.65%,4.05,7.65%,14,34,Active,"May 13, 2022"
Coolship Lager Americana,OEC Brewing (Ordinem Ecentrici Coctores),"Connecticut, United States",Czech Pale LagerRanked #10,Czech Pale Lager,Ranked #10, 5.2%,"89Ranked #11,126",89,"Ranked #11,126",4.02 | pDev: 4.73%,4.02,4.73%,13,34,Active,"Nov 09, 2019"
Tenner,Notch Brewing,"Massachusetts, United States",Czech Pale LagerRanked #1,Czech Pale Lager,Ranked #1, 4%,"94Ranked #2,226",94,"Ranked #2,226",4.34 | pDev: 5.53%,4.34,5.53%,11,32,Active,"Jan 25, 2018"
Lokal Resident,Lost Nation Brewing,"Vermont, United States",Czech Pale LagerRanked #13,Czech Pale Lager,Ranked #13, 5.5%,"89Ranked #12,732",89,"Ranked #12,732",3.98 | pDev: 7.79%,3.98,7.79%,11,31,Active,"Oct 19, 2020"
Zlatni Medvjed,Pivovara Medvedgrad,Croatia (Hrvatska),Czech Pale LagerRanked #15,Czech Pale Lager,Ranked #15, 4.4%,"86Ranked #19,983",86,"Ranked #19,983",3.78 | pDev: 9.26%,3.78,9.26%,9,31,Active,"Jul 08, 2014"
Bakalar Lager,Tradiční pivovar v Rakovníku (Pivovar Rakovnik),Czechia,Czech Pale LagerRanked #24,Czech Pale Lager,Ranked #24, 5%,"76Ranked #27,586",76,"Ranked #27,586",3.16 | pDev: 13.92%,3.16,13.92%,11,30,Active,"Jun 03, 2010"
Gravitace,Art History Brewing,"Illinois, United States",Czech Pale LagerRanked #3,Czech Pale Lager,Ranked #3, 5.1%,"91Ranked #6,480",91,"Ranked #6,480",4.16 | pDev: 5.53%,4.16,5.53%,12,29,Active,"Nov 07, 2020"
Czech 10°,Human Robot Brewing,"Pennsylvania, United States",Czech Pale LagerRanked #6,Czech Pale Lager,Ranked #6, 4.2%,"91Ranked #8,250",91,"Ranked #8,250",4.11 | pDev: 5.6%,4.11,5.6%,12,27,Active,"Nov 08, 2020"
U Medvidku 1466,Minipivovar U Medvídků,Czechia,Czech Pale Lager,Czech Pale Lager,Na, 6.1%,84,84,Na,3.67 | pDev: 15.26%,3.67,15.26%,5,22,Active,"Aug 03, 2011"
Easy Does It,Tree House Brewing Company,"Massachusetts, United States",Czech Pale LagerRanked #11,Czech Pale Lager,Ranked #11, 4%,"90Ranked #10,501",90,"Ranked #10,501",4.06 | pDev: 4.19%,4.06,4.19%,3,20,Active,"Jul 31, 2022"
Světlý Ležák 12º,Godspeed Brewery,"Ontario, Canada",Czech Pale LagerRanked #14,Czech Pale Lager,Ranked #14, 5%,"89Ranked #12,476",89,"Ranked #12,476",4 | pDev: 8%,4,8%,8,19,Active,"Mar 12, 2019"
Žatec Harvest,Tree House Brewing Company,"Massachusetts, United States",Czech Pale LagerRanked #7,Czech Pale Lager,Ranked #7, 4.8%,"90Ranked #8,541",90,"Ranked #8,541",4.13 | pDev: 5.08%,4.13,5.08%,3,18,Active,"Feb 05, 2022"
Zlaty Brazant Svetle 10%,Pivovar Zlaty Bazant a.s.,Slovak Republic,Czech Pale LagerRanked #25,Czech Pale Lager,Ranked #25, 4.1%,"76Ranked #27,675",76,"Ranked #27,675",3.01 | pDev: 22.26%,3.01,22.26%,5,18,Active,"Dec 01, 2011"
Desítka,Notch Brewing,"Massachusetts, United States",Czech Pale Lager,Czech Pale Lager,Na, 4.2%,94,94,Na,4.4 | pDev: 6.59%,4.4,6.59%,6,17,Active,"Apr 19, 2020"
